"filename", "language", "Markdown", "pip requirements", "TypeScript", "Python", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\common\BrandMark.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\common\MarkdownRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 5, 35
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 4, 6, 54
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 5, 46
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\notes\NoteCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\public\NotePreviewCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\public\PublicEmptyState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\public\PublicShell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\public\SectionDivider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\public\TopicCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\public\TopicListRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\topics\TopicCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\topics\TopicRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\ui\EmptyState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\ui\Eyebrow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"d:\MAJOR_PROJECT\codewithishant-v2\frontend\components\ui\IndexBadge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
